Fix time interval of version 4.x,,,,,,,,,,,,,,,,,,,,,
,v4.0..v4.0.9,v4.1..v4.1.52,v4.2..v4.2.8,v4.3..v4.3.6,v4.4..v4.4.216,v4.5..v4.5.7,v4.6..v4.6.7,v4.7..v4.7.9,v4.8..v4.8.17,v4.9..v4.9.216,v4.10..v4.10.17,v4.11..v4.11.12,v4.12..v4.12.14,v4.13..v4.13.16,v4.14..v4.14.173,v4.15..v4.15.18,v4.16..v4.16.18,v4.17..v4.17.19,v4.18..v4.18.20,v4.19..v4.19.109,v4.20..v4.20.17
204,104546,56925,9288,182792,27194,2,71,14944,34881,18571,1,1,48755,405,7191,6984,1351,2,13358,1,1
205,66653,1891,406,584146,38378,1,3840,37213,119,2464,5541,1,1305,4371,4121,2814,8002,5536,1,1,987
206,2,0,67343,23449,0,0,521,18326,5224,1,12790,1,3695,1219,37846,1,12467,1,3811,1,3
207,1,63091,5383,,1000,232139,98213,13794,13208,775,10118,1,10592,18,28121,1,44401,18269,2,0,0
208,72165,8584,10426,,6235,2583,181123,832,18242,19243,34799,1,10932,20,3284,6,5239,37443,7149,1,1
209,377271,3931,1825,,10536,2236,21078,8613,58949,530,4263,1,6326,1687,9669,27713,3750,23618,15815,1313,7686
210,1,14551,67732,,6664,9703,28034,185,5976,34929,1,3892,64106,1,3098,28416,5641,1,28313,430,1257
211,0,63635,2723,,14,15117,76216,1,27390,2633,1,3455,1031,3492,767,4737,10069,133082,1,25157,10545
212,,13763,14976,,31,6628,7780,9349,16355,6957,8187,3109,12209,6315,3,36338,53428,15264,1,81167,1730
213,,1241,7652,,86861,13159,1064,41956,34141,7552,740,9490,1890,4897,1,53411,40843,1703,1,34116,5244
214,,1559,115184,,109701,40736,89963,846,6662,13430,200,37125,1268,5321,13584,10634,1,1721,1,2196,1
215,,62519,52542,,46345,14571,0,399,27440,10023,30364,23892,25341,1,32549,70707,0,0,1,3396,1
216,,3589,86465,,27503,18839,43628,0,36781,4512,67387,55593,23569,2698,70385,17552,60565,15649,13497,15897,16659
217,,7706,2299,,208,7172,36110,6629,1281,4621,538,79823,11198,28704,31807,1456,71296,5819,10436,381,16970
218,,4588,5558,,8671,73200,17603,766,3356,867,8982,0,9681,24800,20871,3824,2644,1,9338,2246,74135
219,,6675,69651,,4758,2866,5898,3897,12193,39334,3997,42161,5792,2998,4470,77675,0,1,10495,6,7030
220,,1727,1635,,62353,52945,510,19071,10615,5148,97847,9386,0,0,427,60076,1,1,605,15095,29763
221,,38,959,,1265,1,22750,2705,3,13288,63219,5521,2121,6019,914,21471,86846,1,5496,14684,15192
